,state,state_po,year,candidate,party,candidatevotes,Electoral_College_Votes
152,Delaware,DE,2008,BARACK OBAMA,DEMOCRAT,255459,3.0
153,Delaware,DE,2008,JOHN MCCAIN,REPUBLICAN,152374,3.0
154,Delaware,DE,2008,OTHER,OTHER,4579,3.0
155,Delaware,DE,2012,BARACK OBAMA,DEMOCRAT,242584,3.0
156,Delaware,DE,2012,MITT ROMNEY,REPUBLICAN,165484,3.0
157,Delaware,DE,2012,OTHER,OTHER,5869,3.0
158,Delaware,DE,2016,DONALD TRUMP,REPUBLICAN,185127,3.0
159,Delaware,DE,2016,HILLARY CLINTON,DEMOCRAT,235603,3.0
160,Delaware,DE,2016,OTHER,OTHER,22267,3.0
161,Delaware,DE,2020,DONALD J TRUMP,REPUBLICAN,200603,3.0
162,Delaware,DE,2020,JO JORGENSEN,LIBERTARIAN,5000,3.0
163,Delaware,DE,2020,JOSEPH R BIDEN JR,DEMOCRAT,296268,3.0
164,Delaware,DE,2020,OTHER,GREEN,2139,3.0
165,District Of Columbia,DC,2000,AL GORE,DEMOCRAT,171923,
166,District Of Columbia,DC,2000,GEORGE W. BUSH,REPUBLICAN,18073,
167,District Of Columbia,DC,2000,OTHER,OTHER,1322,
168,District Of Columbia,DC,2000,RALPH NADER,GREEN,10576,
169,District Of Columbia,DC,2004,GEORGE W. BUSH,REPUBLICAN,21256,
170,District Of Columbia,DC,2004,JOHN KERRY,DEMOCRAT,202970,
171,District Of Columbia,DC,2004,OTHER,OTHER,3360,
172,District Of Columbia,DC,2008,BARACK OBAMA,DEMOCRAT,245800,
173,District Of Columbia,DC,2008,JOHN MCCAIN,REPUBLICAN,17367,
174,District Of Columbia,DC,2008,OTHER,OTHER,2686,
175,District Of Columbia,DC,2012,BARACK OBAMA,DEMOCRAT,267070,
176,District Of Columbia,DC,2012,MITT ROMNEY,REPUBLICAN,21381,
177,District Of Columbia,DC,2012,OTHER,OTHER,5313,
178,District Of Columbia,DC,2016,DONALD TRUMP,REPUBLICAN,12723,
179,District Of Columbia,DC,2016,HILLARY CLINTON,DEMOCRAT,282830,
180,District Of Columbia,DC,2016,OTHER,OTHER,15715,
181,District Of Columbia,DC,2020,DONALD J TRUMP,REPUBLICAN,18586,
182,District Of Columbia,DC,2020,JO JORGENSEN,LIBERTARIAN,2036,
183,District Of Columbia,DC,2020,JOSEPH R BIDEN JR,DEMOCRAT,317323,
184,District Of Columbia,DC,2020,OTHER,GREEN,1726,
185,District Of Columbia,DC,2020,OTHER,OTHER,4685,
186,Florida,FL,2000,AL GORE,DEMOCRAT,2911417,29.0
187,Florida,FL,2000,GEORGE W. BUSH,REPUBLICAN,2911215,29.0
188,Florida,FL,2000,OTHER,OTHER,40602,29.0
189,Florida,FL,2000,RALPH NADER,GREEN,97426,29.0
190,Florida,FL,2004,GEORGE W. BUSH,REPUBLICAN,3964522,29.0
191,Florida,FL,2004,JOHN KERRY,DEMOCRAT,3583544,29.0
192,Florida,FL,2004,OTHER,OTHER,61744,29.0
193,Florida,FL,2008,BARACK OBAMA,DEMOCRAT,4282366,29.0
194,Florida,FL,2008,JOHN MCCAIN,REPUBLICAN,4046212,29.0
195,Florida,FL,2008,OTHER,OTHER,63061,29.0
196,Florida,FL,2012,BARACK OBAMA,DEMOCRAT,4237756,29.0
197,Florida,FL,2012,MITT ROMNEY,REPUBLICAN,4163447,29.0
198,Florida,FL,2012,OTHER,OTHER,72976,29.0
199,Florida,FL,2016,DONALD TRUMP,REPUBLICAN,4617886,29.0
200,Florida,FL,2016,HILLARY CLINTON,DEMOCRAT,4504975,29.0
201,Florida,FL,2016,OTHER,OTHER,297178,29.0
202,Florida,FL,2020,DONALD J TRUMP,REPUBLICAN,5668731,29.0
203,Florida,FL,2020,JO JORGENSEN,LIBERTARIAN,70324,29.0
204,Florida,FL,2020,JOSEPH R BIDEN JR,DEMOCRAT,5297045,29.0
205,Florida,FL,2020,OTHER,GREEN,14721,29.0
206,Florida,FL,2020,OTHER,OTHER,16635,29.0
207,Georgia,GA,2000,AL GORE,DEMOCRAT,1116230,16.0
208,Georgia,GA,2000,GEORGE W. BUSH,REPUBLICAN,1419720,16.0
209,Georgia,GA,2000,OTHER,OTHER,47422,16.0
210,Georgia,GA,2000,RALPH NADER,GREEN,13432,16.0
211,Georgia,GA,2004,GEORGE W. BUSH,REPUBLICAN,1914254,16.0
212,Georgia,GA,2004,JOHN KERRY,DEMOCRAT,1366149,16.0
213,Georgia,GA,2004,OTHER,OTHER,18387,16.0
214,Georgia,GA,2008,BARACK OBAMA,DEMOCRAT,1844137,16.0
215,Georgia,GA,2008,JOHN MCCAIN,REPUBLICAN,2048744,16.0
216,Georgia,GA,2008,OTHER,OTHER,32397,16.0
217,Georgia,GA,2012,BARACK OBAMA,DEMOCRAT,1773827,16.0
218,Georgia,GA,2012,MITT ROMNEY,REPUBLICAN,2078688,16.0
219,Georgia,GA,2012,OTHER,OTHER,47535,16.0
220,Georgia,GA,2016,DONALD TRUMP,REPUBLICAN,2089104,16.0
221,Georgia,GA,2016,HILLARY CLINTON,DEMOCRAT,1877963,16.0
222,Georgia,GA,2016,OTHER,OTHER,147644,16.0
223,Georgia,GA,2020,DONALD J TRUMP,REPUBLICAN,2461837,16.0
224,Georgia,GA,2020,JO JORGENSEN,LIBERTARIAN,62138,16.0
225,Georgia,GA,2020,JOSEPH R BIDEN JR,DEMOCRAT,2474507,16.0
226,Hawaii,HI,2000,AL GORE,DEMOCRAT,205242,4.0
227,Hawaii,HI,2000,GEORGE W. BUSH,REPUBLICAN,137819,4.0
228,Hawaii,HI,2000,OTHER,OTHER,3196,4.0
229,Hawaii,HI,2000,RALPH NADER,GREEN,21614,4.0
230,Hawaii,HI,2004,GEORGE W. BUSH,REPUBLICAN,194116,4.0
231,Hawaii,HI,2004,JOHN KERRY,DEMOCRAT,231335,4.0
232,Hawaii,HI,2004,OTHER,OTHER,3104,4.0
233,Hawaii,HI,2008,BARACK OBAMA,DEMOCRAT,325201,4.0
234,Hawaii,HI,2008,JOHN MCCAIN,REPUBLICAN,120429,4.0
235,Hawaii,HI,2008,OTHER,OTHER,7112,4.0
236,Hawaii,HI,2012,BARACK OBAMA,DEMOCRAT,306266,4.0
237,Hawaii,HI,2012,MITT ROMNEY,REPUBLICAN,120937,4.0
238,Hawaii,HI,2012,OTHER,OTHER,7018,4.0
239,Hawaii,HI,2016,DONALD TRUMP,REPUBLICAN,128847,4.0
240,Hawaii,HI,2016,HILLARY CLINTON,DEMOCRAT,266891,4.0
241,Hawaii,HI,2016,OTHER,OTHER,33199,4.0
242,Hawaii,HI,2020,DONALD J TRUMP,REPUBLICAN,196855,4.0
243,Hawaii,HI,2020,JO JORGENSEN,LIBERTARIAN,5539,4.0
244,Hawaii,HI,2020,JOSEPH R BIDEN JR,DEMOCRAT,366127,4.0
245,Hawaii,HI,2020,OTHER,GREEN,3822,4.0
246,Hawaii,HI,2020,OTHER,OTHER,2114,4.0
247,Idaho,ID,2000,AL GORE,DEMOCRAT,138637,4.0
248,Idaho,ID,2000,GEORGE W. BUSH,REPUBLICAN,336937,4.0
249,Idaho,ID,2000,OTHER,OTHER,13755,4.0
250,Idaho,ID,2000,RALPH NADER,GREEN,12292,4.0
251,Idaho,ID,2004,GEORGE W. BUSH,REPUBLICAN,409235,4.0
252,Idaho,ID,2004,JOHN KERRY,DEMOCRAT,181098,4.0
253,Idaho,ID,2004,OTHER,OTHER,8043,4.0
254,Idaho,ID,2008,BARACK OBAMA,DEMOCRAT,236440,4.0
255,Idaho,ID,2008,JOHN MCCAIN,REPUBLICAN,403012,4.0
256,Idaho,ID,2008,OTHER,OTHER,15580,4.0
257,Idaho,ID,2012,BARACK OBAMA,DEMOCRAT,212787,4.0
258,Idaho,ID,2012,MITT ROMNEY,REPUBLICAN,420911,4.0
259,Idaho,ID,2012,OTHER,OTHER,18576,4.0
260,Idaho,ID,2016,DONALD TRUMP,REPUBLICAN,409055,4.0
261,Idaho,ID,2016,HILLARY CLINTON,DEMOCRAT,189765,4.0
262,Idaho,ID,2016,OTHER,OTHER,91613,4.0
263,Idaho,ID,2020,DONALD J TRUMP,REPUBLICAN,554119,4.0
264,Idaho,ID,2020,JO JORGENSEN,LIBERTARIAN,16404,4.0
265,Idaho,ID,2020,JOSEPH R BIDEN JR,DEMOCRAT,287021,4.0
266,Idaho,ID,2020,OTHER,OTHER,9817,4.0
267,Illinois,IL,2000,AL GORE,DEMOCRAT,2589026,20.0
