,state,year,candidate,candidatevotes,Electoral_College_Votes,candidatevotespercent
142,Minnesota,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[1367716|1322951|254146]",10.0,"[46.44|44.92|8.63]"
143,Minnesota,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[1717077|1484065|10033|34976|31020]",10.0,"[52.4|45.28|0.31|1.07|0.95]"
144,Mississippi,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[404964|573230|8126|8606]",6.0,"[40.7|57.62|0.82|0.86]"
145,Mississippi,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[440034|666295|8530]",6.0,"[39.47|59.76|0.77]"
146,Mississippi,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[554662|724497|6100]",6.0,"[43.16|56.37|0.47]"
147,Mississippi,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[562949|710746|11889]",6.0,"[43.79|55.29|0.92]"
148,Mississippi,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[485131|700714|23512]",6.0,"[40.11|57.94|1.94]"
149,Mississippi,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[539398|756764|1498|8026|8073]",6.0,"[41.06|57.6|0.11|0.61|0.61]"
150,Missouri,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[1111138|1189924|38515|20315]",10.0,"[47.08|50.42|1.63|0.86]"
151,Missouri,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[1259171|1455713|16480]",10.0,"[46.1|53.3|0.6]"
152,Missouri,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[1441911|1445814|37480]",10.0,"[49.29|49.43|1.28]"
